full_state,location_name,full_address,address,city,state,fstate,zipcode,point_of_contact,phone,email,type,specialization
ALABAMA,Mobile MBDA Business Center,"450-A Government Street, Mobile, AL 36602",450-A Government Street,Mobile,AL,Alabama,36602,Pamela Ramos,251-433-2250,pramos@mobilembdacenter.com,MBDA Business Center,None
ALASKA,Anchorage MBDA Business Center,"4500 Diplomacy Drive, Suite 202, Anchorage, AK 99508",4500 Diplomacy Drive,Anchorage,AK,Alaska,99508,Becky Beck,907-786-4676,bbeck5@uaa.alaska.edu,MBDA Business Center,None
ARIZONA,Phoenix MBDA Business Center,"225 East Osborn Road, Suite 202, Phoenix, AZ 85012",225 East Osborn Road,Phoenix,AZ,Arizona,85012,Alika Kumar,602-294-6087,alika@phoenixmbdacenter.com,Specialty Center,Exports to Mexico
CALIFORNIA,Fresno MBDA Business Center,"5067 N. Mariposa Street, Suite 105, Fresno, CA 93710",5067 N. Mariposa Street,Fresno,CA,California,93710,David Mendoza,559-354-6795,dmendoza@fresnombdacenter.com,MBDA Business Center,None
CALIFORNIA,Los Angeles MBDA Business Center,"2801 South Hoover Street, Los Angeles, CA 90089",2801 South Hoover Street,Los Angeles,CA,California,90089,Sergio Gascon,213-743-4518,sgascon@usc.edu,MBDA Business Center,None
CALIFORNIA,Riverside MBDA Business Center,"25186 Hancock Ave., Suite 220, Murrieta, CA 92562",25186 Hancock Ave.,Murrieta,CA,California,92562,Daniel Sieu,951-698-7529,dan.sieu@riversidembdacenter.com,MBDA Business Center,None
CALIFORNIA,San Francisco MBDA Business Center,"555 Montgomery Street, San Francisco, CA 94111",555 Montgomery Street,San Francisco,CA,California,94111,Nora Li,415-704-7415,nli@sanfranciscombdacenter.com,Specialty Center,Technology Transfer & Innovation
CALIFORNIA,San Jose MBDA Business Center,"3031 Tisch Way, Suite 80, San Jose, CA 95128",3031 Tisch Way,San Jose,CA,California,95128,Alejandro Serrudo,408-998-8058,aserrudo@sanjosembdacenter.com,MBDA Business Center,None
COLORADO,Denver MBDA Business Center,"6025 S. Quebec Street, Suite 135, Denver, CO 80202",6025 S. Quebec Street,Denver,CO,Colorado,80202,Helena Haynes-Carter,303-623-3105,hhaynescarter@denvermbdacenter.com,MBDA Business Center,None
CONNECTICUT,Bridgeport MBDA Business Center,"333 State Street, Bridgeport, CT 06604",333 State Street,Bridgeport,CT,Connecticut,06604,Lawrence Wooten,"203-288-9744, Ext. 121",lwooten@bridgeportmbdacenter.com,MBDA Business Center,None
DISTRICT OF COLUMBIA,MBDA Federal Procurement Center,"1701 Pennsylvania Avenue, NW, Washington, DC 20004",1701 Pennsylvania Avenue,Washington,DC,District Of Columbia,20004,Gregory Reyes ,202-737-0877,greyes@mbdacontracts.com,Federal Procurement Center,None
DISTRICT OF COLUMBIA,Capitol MBDA Business Center,"1701 Connecticut Avenue, NW, Suite 200, Washington, DC 20009",1701 Connecticut Avenue,Washington,DC,District Of Columbia,20009,Dennis Smith,202-827-8487,dsmith@ncrmbc.com,MBDA Headquarters,None
DISTRICT OF COLUMBIA,Washington DC MBDA Business Center,"727 15th Street, NW, Suite 900, Washington, DC 20005",727 15th Street,Washington,DC,District Of Columbia,20005,Michael Bing,202-464-2298,mbing@dcmbdacenter.com,MBDA Business Center,None
FLORIDA,Miami MBDA Business Center,"970 South West, 1st Street, Suite 405, Miami, FL 33130",970 South West,Miami,FL,Florida,33130,Jorge Iglesias,786-316-0888,jorge@mbdabusinesscenterfl.org,MBDA Business Center,None
FLORIDA,Orlando MBDA Business Center,"7453 Brokerage Drive, Suite A, Orlando, FL 32809",7453 Brokerage Drive,Orlando,FL,Florida,32809,Nancy Lee Straw,407-404-6719,nancylee@fmsdc.org,MBDA Business Center,None
GEORGIA,Atlanta MBDA Business Center,"75 5th Street, NW, Suite 300, Atlanta, GA 30308",75 5th Street,Atlanta,GA,Georgia,30308,Donna Ennis,404-894-2096,donna.ennis@innovate.gatech.edu,Specialty Center,Connected Advanced Manufacturing Program
HAWAII,Honolulu MBDA Business Center,"2404 Maile Way, A414b, Honolulu, HI 96822",2404 Maile Way,Honolulu,HI,Hawaii,96822,Dana Hauanio,808-956-0850,dhauanio@honolulu-mbdc.org,MBDA Business Center,None
ILLINOIS,Chicago MBDA Business Center,"105 West Adams Street, Suite 2300, Chicago, IL 60603",105 West Adams Street,Chicago,IL,Illinois,60603,Hans Bonner,312-755-2565,hbonner@chicagombdacenter.com,Specialty Center,Exports to Africa; Export Financing
INDIANA,Indianapolis MBDA Business Center,"2126 North Meridian Street, Suite 110, Indianapolis, IN 46202",2126 North Meridian Street,Indianapolis,IN,Indiana,46202,James Knight,317-921-2677,james.knight@indymbdacenter.com,Specialty Center,Advanced Manufacturing
LOUISIANA,New Orleans MBDA Business Center,"400 Poydras Street, Suite 1965, New Orleans, LA 70130",400 Poydras Street,New Orleans,LA,Louisiana,70130,Alvin-O Williams,504-293-0407,awilliams@lambc.org,MBDA Business Center,None
MARYLAND,Baltimore MBDA Business Center,"1101 East 33rd Street, Suite 308, Baltimore, MD 21218",1101 East 33rd Street,Baltimore,MD,Maryland,21218,N. Scott Phillips,443-451-7103,nscottphillips@baltimorembda.com,MBDA Business Center,None
MASSACHUSETTS,Boston MBDA Business Center,"100 Huntington Avenue, Copley Place, Boston, MA 02116",100 Huntington Avenue,Boston,MA,Massachusetts,02116,Warren Bacon,617-986-6366,wbacon@bostonmbdacenter.com,MBDA Business Center,None
MICHIGAN,Detroit MBDA Business Center,"100 River Place, Suite 300, Detroit, MI 48207",100 River Place,Detroit,MI,Michigan,48207,Diane Lee,"313-873-3200, Ext. 104",dlee@detroitmbdacenter.com,Specialty Center,Exports to Africa; Export Financing
MINNESOTA,Minneapolis MBDA Business Center,"250 Second Avenue South, Suite 106, Minneapolis, MN 55401",250 Second Avenue South,Minneapolis,MN,Minnesota,55401,George Jacobson,612-259-6590,gjacobson@meda.net,MBDA Business Center,None
MISSOURI,St. Louis MBDA Business Center,"308 North 21st Street, Suite 701, St. Louis, MO 63103",308 North 21st Street,St. Louis,MO,Missouri,63103,Charles Henson,314-241-1143,chenson@stlouismbdacenter.com,MBDA Business Center,None
NEVADA,Las Vegas MBDA Business Center,"626 South Ninth Street, Las Vegas, NV 89101",626 South Ninth Street,Las Vegas,NV,Nevada,89101,Vershaun Ragland,702-382-9522,vragland@lasvegasmbdacenter.com,MBDA Business Center,None
NEW MEXICO,Albuquerque MBDA Business Center,"718 Central Avenue, SW, Albuquerque, NM 87102",718 Central Avenue,Albuquerque,NM,New Mexico,87102,Anna Muller,505-843-7114,info@nedainc.net,MBDA Business Center,None
NEW MEXICO,Santa Fe MBDA Business Center,"Wendell Chino Building, 1220 South Saint Francis Drive, 2nd Floor, Santa Fe, NM 87505",Wendell Chino Building,Santa Fe,NM,New Mexico,87505,Ted Pedro,505-243-6775,tedpedro@nmnabec.org,MBDA Business Center,None
NEW YORK,Manhattan MBDA Business Center,"114 West 47th Street, 19th Floor, New York, NY 10036",114 West 47th Street,New York,NY,New York,10036,Paul Sawyer,646-821-4008,psawyer@nycmbdacenter.com,MBDA Business Center,None
NEW YORK,South Bronx MBDA Business Center,"555 Bergen Avenue, 3rd Floor, Bronx, NY 10455",555 Bergen Avenue,Bronx,NY,New York,10455,Sharon Higgins,718-732-7540,shiggins@sobro.org,MBDA Business Center,None
NEW YORK,Williamsburg MBDA Business Center,"12 Heyward Street, 2nd Floor, Brooklyn, NY 11211",12 Heyward Street,Brooklyn,NY,New York,11211,Yehuda Turner,"718-522-5620, Ext. 307",yturner@odabdc.org,MBDA Business Center,None
NORTH CAROLINA,Raleigh MBDA Business Center,"5800 Faringdon Place, Raleigh, NC 27609",5800 Faringdon Place,Raleigh,NC,North Carolina,27609,Ron R. Stafford,919-838-9950,dstafford@ncimed.com,MBDA Business Center,None
